店名,星级评分,评论数,平均每人消费,饭店标签,地址
TACO STAR塔可星(万象城店),45,396,￥33,西餐,温州万象城
川街里大排档(娄桥店),45,357,￥73,川菜馆,瓯海区
拾贰京禧涮肉,45,526,￥116,老北京火锅,五马街/大南门
名棠创意料理(奥体城店),45,437,￥104,创意菜,万达广场
温州名小吃(创荣广场店),35,77,￥15,快餐简餐,大学城
顺伍涮肉,40,426,￥120,老北京火锅,半腰桥
深巷厨房(茶山店),45,495,￥88,温州菜,大学城
捞王锅物料理(温州万象城店),50,3317,￥120,猪肚鸡火锅,老殿后
正亮海鲜(人民西路店),45,2336,￥167,海鲜,五马街/大南门
东浦·一味独食火锅,45,2290,￥87,火锅,车站大道
大锅鱼(拱瑞山路店),40,881,￥82,温州菜,安阳街道
鳗匠心(车站大道店),45,1418,￥117,日本料理,车站大道
绣粤广式茶楼(温州万象城店),45,3092,￥92,粤式茶点,温州万象城
小村丼饭食堂(东浦店),45,104,￥29,日式简餐/快餐,车站大道
鸟东炭火烧鸟,50,133,￥124,日本料理,银泰百货/大南路
一品嘉海鲜料理(闻宅店),40,1607,￥144,海鲜,五马街/大南门
叔叔家烘焙工作室,35,10,未知,甜品,鳌江镇
呷哺呷哺(温州滨江万象城店),35,344,￥57,小火锅,江滨东路
托托西里?意式大排档(万邦中心店),45,85,￥54,西餐,温州万象城
江城熬糕店,35,5,未知,温州菜,东山街道
